"Year","Cause","Sex","Deaths7","Deaths8","Deaths9","Deaths10","Deaths26","Deaths2534","Deaths3544","Deaths4559","Deaths6069","Deaths70up"
1998,"X780",1,0,0,1,1,0,3,1,1,0,0
1998,"X780",2,0,0,0,0,0,0,0,1,0,1
1998,"X790",1,0,0,0,0,0,0,0,1,0,0
1998,"X800",1,0,0,1,0,0,0,1,1,0,0
1998,"X800",2,0,0,1,0,0,1,1,0,0,1
1998,"X840",1,0,0,0,1,0,9,2,0,2,1
1998,"X840",2,0,1,2,1,0,3,1,2,0,1
1999,"X610",1,0,0,0,1,0,0,0,0,0,0
1999,"X630",1,0,0,1,0,0,0,0,0,0,0
1999,"X640",1,0,0,4,1,0,3,3,2,2,0
1999,"X640",2,0,0,3,0,0,2,1,1,0,0
1999,"X650",1,0,0,0,1,0,0,0,0,0,0
1999,"X680",1,0,1,2,2,0,13,5,1,2,0
1999,"X680",2,0,1,4,0,0,6,2,0,0,0
1999,"X690",1,0,0,2,1,0,5,2,1,0,0
1999,"X690",2,0,0,1,0,0,0,1,1,0,0
1999,"X700",1,0,2,31,39,2,75,64,63,22,26
1999,"X700",2,0,8,7,9,0,11,13,16,7,6
1999,"X720",1,0,0,2,4,0,1,1,1,1,0
1999,"X720",2,0,0,1,0,0,0,1,0,0,1
1999,"X730",1,0,1,2,3,0,0,1,1,0,2
1999,"X740",1,0,0,3,11,0,18,7,11,3,4
1999,"X740",2,0,0,4,4,0,4,1,0,0,0
1999,"X760",1,0,0,0,0,0,0,2,1,0,0
1999,"X760",2,0,1,0,1,0,1,0,2,1,1
1999,"X770",1,0,0,0,1,0,4,3,2,0,1
1999,"X770",2,0,0,0,0,0,1,0,0,0,0
1999,"X780",1,0,0,1,1,0,3,0,1,0,1
